08/04/2024 00:10:27 - url: /api/Login | controller: Authentication | method: POST | duration time:  6ms | User Name : unknown
08/04/2024 00:10:44 - url: /api/Login | controller: Authentication | method: POST | duration time:  3976ms | User Name : unknown
08/04/2024 00:10:44 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:10:44 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
08/04/2024 00:10:44 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:44 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:44 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:56 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:10:56 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:56 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:56 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:12:21 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  126ms | User Name : unknown
08/04/2024 00:12:21 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  126ms | User Name : unknown
08/04/2024 00:12:36 - url: /api/Login | controller: Authentication | method: POST | duration time:  4355ms | User Name : unknown
08/04/2024 00:12:37 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  16ms | User Name : unknown
08/04/2024 00:12:37 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  45ms | User Name : unknown
08/04/2024 00:12:37 - url: /api/me | controller: User | method: GET | duration time:  156ms | User Name : Dan
08/04/2024 00:12:37 - url: /api/todo | controller: User | method: GET | duration time:  156ms | User Name : Dan
08/04/2024 00:12:37 - url: /api/type | controller: User | method: GET | duration time:  4ms | User Name : Dan
08/04/2024 00:14:49 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  106ms | User Name : unknown
08/04/2024 00:14:49 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  106ms | User Name : unknown
08/04/2024 00:14:59 - url: /api/Login | controller: Authentication | method: POST | duration time:  133ms | User Name : unknown
08/04/2024 00:15:12 - url: /api/Login | controller: Authentication | method: POST | duration time:  4163ms | User Name : unknown
08/04/2024 00:15:12 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  22ms | User Name : unknown
08/04/2024 00:15:12 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  54ms | User Name : unknown
08/04/2024 00:15:13 - url: /api/todo | controller: User | method: GET | duration time:  147ms | User Name : Dan
08/04/2024 00:15:13 - url: /api/me | controller: User | method: GET | duration time:  150ms | User Name : Dan
08/04/2024 00:15:13 - url: /api/type | controller: User | method: GET | duration time:  5ms | User Name : Dan
08/04/2024 00:16:11 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  122ms | User Name : unknown
08/04/2024 00:16:11 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  122ms | User Name : unknown
08/04/2024 00:16:11 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  12ms | User Name : unknown
08/04/2024 00:16:11 - url: /api/todo | controller: User | method: GET | duration time:  284ms | User Name : Dan
08/04/2024 00:16:11 - url: /api/me | controller: User | method: GET | duration time:  284ms | User Name : Dan
08/04/2024 00:16:11 - url: /api/type | controller: User | method: GET | duration time:  8ms | User Name : Dan
08/04/2024 00:17:40 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  112ms | User Name : unknown
08/04/2024 00:17:40 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  112ms | User Name : unknown
08/04/2024 00:17:55 - url: /api/Login | controller: Authentication | method: POST | duration time:  4223ms | User Name : unknown
08/04/2024 00:17:55 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  30ms | User Name : unknown
08/04/2024 00:17:55 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:17:55 - url: /api/me | controller: User | method: GET | duration time:  145ms | User Name : Dan
08/04/2024 00:17:55 - url: /api/todo | controller: User | method: GET | duration time:  146ms | User Name : Dan
08/04/2024 00:17:55 - url: /api/type | controller: User | method: GET | duration time:  6ms | User Name : Dan
08/04/2024 00:19:17 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  156ms | User Name : unknown
08/04/2024 00:19:17 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  156ms | User Name : unknown
08/04/2024 00:19:17 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  3ms | User Name : unknown
08/04/2024 00:19:17 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  3ms | User Name : unknown
08/04/2024 00:19:32 - url: /api/Login | controller: Authentication | method: POST | duration time:  4324ms | User Name : unknown
08/04/2024 00:19:32 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  21ms | User Name : unknown
08/04/2024 00:19:32 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  59ms | User Name : unknown
08/04/2024 00:19:32 - url: /api/me | controller: User | method: GET | duration time:  154ms | User Name : Dan
08/04/2024 00:19:32 - url: /api/todo | controller: User | method: GET | duration time:  154ms | User Name : Dan
08/04/2024 00:19:32 - url: /api/type | controller: User | method: GET | duration time:  6ms | User Name : Dan
08/04/2024 00:19:47 - url: /api/me | controller: Unknown | method: POST | duration time:  0ms | User Name : Dan
08/04/2024 00:20:02 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:20:02 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:20:02 - url: /api/me | controller: User | method: GET | duration time:  2ms | User Name : Dan
08/04/2024 00:20:02 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:20:02 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:20:03 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:20:03 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:20:03 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:20:03 - url: /api/type | controller: User | method: GET | duration time:  0ms | User Name : Dan
08/04/2024 00:20:07 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:20:07 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:20:07 - url: /api/me | controller: User | method: GET | duration time:  2ms | User Name : Dan
08/04/2024 00:20:07 - url: /api/type | controller: User | method: GET | duration time:  0ms | User Name : Dan
08/04/2024 00:20:24 - url: /api/me | controller: Unknown | method: POST | duration time:  0ms | User Name : Dan
08/04/2024 00:22:26 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  129ms | User Name : unknown
08/04/2024 00:22:26 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  129ms | User Name : unknown
08/04/2024 00:22:46 - url: /api/Login | controller: Authentication | method: POST | duration time:  4231ms | User Name : unknown
08/04/2024 00:22:46 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  15ms | User Name : unknown
08/04/2024 00:22:46 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  53ms | User Name : unknown
08/04/2024 00:22:46 - url: /api/me | controller: User | method: GET | duration time:  147ms | User Name : Dan
08/04/2024 00:22:46 - url: /api/todo | controller: User | method: GET | duration time:  147ms | User Name : Dan
08/04/2024 00:22:46 - url: /api/type | controller: User | method: GET | duration time:  9ms | User Name : Dan
08/04/2024 00:23:05 - url: /api/me | controller: User | method: PUT | duration time:  4434ms | User Name : Dan
08/04/2024 00:23:09 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:23:09 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:23:09 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:23:09 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:23:09 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:23:47 - url: /api/me | controller: User | method: PUT | duration time:  3987ms | User Name : Dan
08/04/2024 00:23:48 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:23:48 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:23:48 - url: /html/login | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:23:48 - url: /api/me | controller: User | method: GET | duration time:  2ms | User Name : Dan
08/04/2024 00:25:26 - url: /html/index.html | controller: Unknown | method: GET | duration time:  124ms | User Name : unknown
08/04/2024 00:25:26 - url: /js/index.js | controller: Unknown | method: GET | duration time:  17ms | User Name : unknown
08/04/2024 00:25:26 - url: /css/site.css | controller: Unknown | method: GET | duration time:  19ms | User Name : unknown
08/04/2024 00:25:26 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:25:26 - url: /js/login.js | controller: Unknown | method: GET | duration time:  33ms | User Name : unknown
08/04/2024 00:25:32 - url: /favicon.ico | controller: Unknown | method: GET | duration time:  6ms | User Name : unknown
08/04/2024 00:25:32 - url: /favicon.ico | controller: Unknown | method: GET | duration time:  82ms | User Name : unknown
08/04/2024 00:25:40 - url: /api/Login | controller: Authentication | method: POST | duration time:  0ms | User Name : unknown
08/04/2024 00:25:40 - url: /api/Login | controller: Unknown | method: OPTIONS | duration time:  1ms | User Name : unknown
08/04/2024 00:25:41 - url: /html/login.html | controller: Unknown | method: GET | duration time:  10ms | User Name : unknown
08/04/2024 00:25:48 - url: /api/Login | controller: Authentication | method: POST | duration time:  0ms | User Name : unknown
08/04/2024 00:25:48 - url: /api/Login | controller: Unknown | method: OPTIONS | duration time:  4ms | User Name : unknown
08/04/2024 00:26:24 - url: /api/Login | controller: Authentication | method: POST | duration time:  0ms | User Name : unknown
08/04/2024 00:26:24 - url: /api/Login | controller: Unknown | method: OPTIONS | duration time:  0ms | User Name : unknown
08/04/2024 00:26:28 - url: /api/Login | controller: Authentication | method: POST | duration time:  0ms | User Name : unknown
08/04/2024 00:26:28 - url: /api/Login | controller: Unknown | method: OPTIONS | duration time:  0ms | User Name : unknown
08/04/2024 00:26:30 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:26:32 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:26:41 - url: /api/Login | controller: Authentication | method: POST | duration time:  0ms | User Name : unknown
08/04/2024 00:26:41 - url: /api/Login | controller: Unknown | method: OPTIONS | duration time:  0ms | User Name : unknown
08/04/2024 10:05:48 - url: /html/index.html | controller: Unknown | method: GET | duration time:  209ms | User Name : unknown
08/04/2024 10:05:48 - url: /css/site.css | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
08/04/2024 10:05:48 - url: /js/index.js | controller: Unknown | method: GET | duration time:  2ms | User Name : unknown
08/04/2024 10:05:48 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  159ms | User Name : unknown
08/04/2024 10:05:48 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  162ms | User Name : unknown
